response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood
2016/01/01 17:47:46,Unwanted Person ,Yes,FORCE,No,Bodily Force,Knees,White,Male,26.0,Tensed,5,Whittier
2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,Unknown,Bodily Force,Joint Lock,Black,Male,43.0,Tensed,4,Folwell
2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,Unknown,Bodily Force,Push Away,Black,Male,43.0,Tensed,4,Folwell
2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,Unknown,Bodily Force,Body Weight to Pin,Black,Male,43.0,Tensed,4,Folwell
2016/01/03 00:33:28,Stabbing ,No,ASLT2,No,Taser,Red Dot,Black,Male,27.0,Commission of Crime,1,Downtown West
2016/01/03 00:33:28,Stabbing ,No,ASLT2,No,Bodily Force,Body Weight to Pin,Black,Male,27.0,Commission of Crime,1,Downtown West
2016/01/03 01:43:45,Disturbance ,No,ASLT4,Yes,Bodily Force,Punches,White,Male,25.0,Assaulted Officer,1,Downtown West
2016/01/03 02:00:41,Fight ,No,FORCE,Unknown,Chemical Irritant,Personal Mace,Black,Female,22.0,Commission of Crime,4,Hawthorne
2016/01/03 02:00:41,Fight ,No,FORCE,Unknown,Chemical Irritant,Personal Mace,Black,Male,25.0,Commission of Crime,4,Hawthorne
2016/01/03 02:00:41,Fight ,No,FORCE,Unknown,Chemical Irritant,Personal Mace,Black,Male,22.0,Commission of Crime,4,Hawthorne
2016/01/03 02:15:28,Disturbance ,No,DISCON,Unknown,Chemical Irritant,Crowd Control Mace,White,Male,22.0,Commission of Crime,2,Marcy Holmes
2016/01/03 02:22:18,Fight ,No,FORCE,Unknown,Chemical Irritant,Personal Mace,Black,Male,18.0,Commission of Crime,1,Downtown West
2016/01/03 02:48:32,Suspicious Person ,No,OBSTRU,Unknown,Bodily Force,Push Away,White,Female,24.0,Commission of Crime,1,Downtown West
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Improvised Weapon,Other (specify),Black,Male,22.0,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,22.0,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Joint Lock,Black,Male,22.0,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,22.0,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Improvised Weapon,Other (specify),Black,Male,22.0,Commission of Crime,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Knees,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Taser,Firing Darts,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Conscious Neck Restraint,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Punches,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Punches,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Push Away,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
2016/01/04 18:12:59,Unknown Trouble ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,54.0,Assaulted Officer,2,Audubon Park
2016/01/04 18:12:59,Unknown Trouble ,No,ASLT4,Yes,Bodily Force,Push Away,White,Male,54.0,Assaulted Officer,2,Audubon Park
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,Unknown,Bodily Force,Body Weight to Pin,White,Male,14.0,Tensed,5,Fulton
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,Unknown,Bodily Force,Body Weight to Pin,White,Male,14.0,Tensed,5,Fulton
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,Unknown,Bodily Force,Joint Lock,White,Male,14.0,Tensed,5,Fulton
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,Unknown,Bodily Force,Joint Lock,White,Male,14.0,Tensed,5,Fulton
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Body Weight to Pin,Black,Female,20.0,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Push Away,Black,Female,20.0,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Body Weight to Pin,Black,Female,20.0,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Push Away,Black,Female,20.0,Tensed,4,Harrison
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Knees,Native American,Male,42.0,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Punches,Native American,Male,42.0,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Body Weight to Pin,Native American,Male,42.0,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Knees,Native American,Male,42.0,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Punches,Native American,Male,42.0,Tensed,3,Midtown Phillips
2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,Yes,Bodily Force,Punches,Black,Male,27.0,Fled in Vehicle,3,Ventura Village
2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,Yes,Improvised Weapon,Flashlight,Black,Male,27.0,Fled in Vehicle,3,Ventura Village
2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,Black,Male,27.0,Fled in Vehicle,3,Ventura Village
2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Body Weight to Pin,White,Male,38.0,Tensed,2,Marcy Holmes
2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Punches,White,Male,38.0,Tensed,2,Marcy Holmes
2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Joint Lock,White,Male,38.0,Tensed,2,Marcy Holmes
2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,Unknown,Bodily Force,Joint Lock,Black,Male,19.0,Tensed,3,Ventura Village
2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,Unknown,Bodily Force,Body Weight to Pin,Black,Male,19.0,Tensed,3,Ventura Village
2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,Unknown,Bodily Force,Body Weight to Pin,Black,Male,19.0,Tensed,3,Ventura Village
2016/01/07 21:22:30,Damage Property-In Progress,Yes,BURGTL,Unknown,Bodily Force,Body Weight to Pin,Black,Male,23.0,Fled on Foot,3,East Phillips
2016/01/07 21:22:30,Damage Property-In Progress,Yes,BURGTL,Unknown,Gun Point Display,Compliance,Black,Male,23.0,Fled on Foot,3,East Phillips
2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,Yes,Bodily Force,Punches,Native American,Male,28.0,Assaulted Officer,4,Folwell
2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,Yes,Taser,Touch,Native American,Male,28.0,Assaulted Officer,4,Folwell
2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,Yes,Taser,Firing Darts,Native American,Male,28.0,Assaulted Officer,4,Folwell
2016/01/08 18:50:50,Poss Personal Injury Acc ,Yes,DAMPRP,Unknown,Bodily Force,Body Weight to Pin,Black,Male,26.0,Commission of Crime,5,Kenwood
2016/01/09 00:39:00,Person with a Gun ,Yes,DAMMV,Unknown,Chemical Irritant,Crowd Control Mace,Black,Male,24.0,Commission of Crime,1,Cedar Riverside
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Improvised Weapon,Flashlight,Black,Male,30.0,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,30.0,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Male,30.0,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Knees,Black,Male,30.0,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Joint Lock,Black,Male,30.0,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,30.0,Commission of Crime,3,Ericsson
2016/01/09 21:46:21,Disturbance ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,15.0,Assaulted Officer,4,Willard - Hay
2016/01/09 21:46:21,Disturbance ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,15.0,Assaulted Officer,4,Willard - Hay
2016/01/09 22:45:54,Officer Needs Help ,No,DISCON,Unknown,Bodily Force,Push Away,Black,Male,24.0,Verbal Non-Compliance,4,Cleveland
2016/01/09 22:45:54,Officer Needs Help ,No,DISCON,Unknown,Bodily Force,Body Weight to Pin,Black,Male,24.0,Verbal Non-Compliance,4,Cleveland
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Knees,White,Male,39.0,Tensed,1,Downtown West
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Joint Lock,White,Male,39.0,Tensed,1,Downtown West
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Body Weight to Pin,White,Male,39.0,Tensed,1,Downtown West
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Push Away,White,Male,39.0,Tensed,1,Downtown West
2016/01/10 02:25:13,Disturbance ,No,DISCON,Unknown,Chemical Irritant,Crowd Control Mace,,,0.0,Unspecified,0,
2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,Yes,Taser,Firing Darts,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road
2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,Yes,Taser,Red Dot,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road
2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,Yes,Taser,Display,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road
2016/01/11 19:02:01,Theft - Report Only ,No,SHOPLF,Unknown,Bodily Force,Joint Lock,Native American,Female,35.0,Tensed,1,Downtown West
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Joint Lock,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Improvised Weapon,Flashlight,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Gun Point Display,Compliance,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Punches,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Punches,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Joint Lock,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Push Away,Black,Male,36.0,Verbal Non-Compliance,2,Como
2016/01/12 03:50:29,Fight ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,31.0,Commission of Crime,1,Downtown West
2016/01/12 09:55:26,Unwanted Person ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,56.0,Tensed,1,Downtown West
2016/01/12 09:55:26,Unwanted Person ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Male,56.0,Tensed,1,Downtown West
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,Unknown,Bodily Force,Body Weight to Pin,Black,Male,37.0,Tensed,4,Hawthorne
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,Unknown,Bodily Force,Body Weight to Pin,Black,Male,37.0,Tensed,4,Hawthorne
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,Unknown,Bodily Force,Joint Lock,Black,Male,37.0,Tensed,4,Hawthorne
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,Unknown,Bodily Force,Joint Lock,Black,Male,37.0,Tensed,4,Hawthorne
2016/01/14 01:59:36,Unwanted Person ,Yes,DAMPRP,No,Improvised Weapon,Other (specify),Black,Male,33.0,Tensed,5,Whittier
2016/01/14 01:59:36,Unwanted Person ,Yes,DAMPRP,No,Improvised Weapon,Other (specify),Black,Male,33.0,Tensed,5,Whittier
2016/01/14 02:07:05,Disturbance ,No,DISCON,Unknown,Chemical Irritant,Crowd Control Mace,White,Male,18.0,Commission of Crime,1,Downtown West
2016/01/14 15:38:24,Suspicious Person ,No,NARC,No,Bodily Force,Body Weight to Pin,Black,Male,15.0,Tensed,4,Jordan
2016/01/14 20:29:23,Suspicious Person ,No,NARC,No,Bodily Force,Body Weight to Pin,Native American,Male,25.0,Tensed,3,East Phillips
2016/01/14 20:29:23,Suspicious Person ,No,NARC,No,Gun Point Display,Compliance,Native American,Male,25.0,Tensed,3,East Phillips
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,24.0,Commission of Crime,5,Whittier
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Push Away,Black,Female,21.0,Tensed,5,Whittier
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Male,24.0,Commission of Crime,5,Whittier
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Female,21.0,Tensed,5,Whittier
2016/01/15 20:29:19,Suspicious Person ,No,NARC,Unknown,Bodily Force,Body Weight to Pin,,Male,26.0,Commission of Crime,2,St. Anthony East
2016/01/15 20:33:46,Suspicious Person ,No,FLEEFT,No,Taser,Firing Darts,Black,Female,36.0,Fled on Foot,1,Downtown West
2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Male,52.0,Assaulted Officer,3,Wenonah
2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,52.0,Assaulted Officer,3,Wenonah
2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Conscious Neck Restraint,Black,Male,52.0,Assaulted Officer,3,Wenonah
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,43.0,Tensed,2,Nicollet Island - East Bank
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Chemical Irritant,Personal Mace,Black,Female,21.0,Tensed,2,Nicollet Island - East Bank
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Chemical Irritant,Personal Mace,White,Female,46.0,Verbal Non-Compliance,2,Nicollet Island - East Bank
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Bodily Force,Push Away,Black,Male,43.0,Tensed,2,Nicollet Island - East Bank
2016/01/17 02:19:30,Disturbance ,No,DISCON,Unknown,Chemical Irritant,Personal Mace,White,Male,23.0,Commission of Crime,5,Lowry Hill East
2016/01/17 02:19:30,Disturbance ,No,DISCON,Unknown,Chemical Irritant,Personal Mace,White,Male,22.0,Commission of Crime,5,Lowry Hill East
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,Unknown,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 23:41:39,Fight ,No,NARC,No,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon
2016/01/17 23:41:39,Fight ,No,NARC,No,Chemical Irritant,Personal Mace,Black,Male,21.0,Tensed,4,Lind - Bohanon
2016/01/17 23:41:39,Fight ,No,NARC,No,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon
2016/01/17 23:41:39,Fight ,No,NARC,No,Bodily Force,Kicks,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon
2016/01/19 20:39:28,Animal Bite ,No,BURGB,Yes,Bodily Force,Knees,,Male,19.0,Assaulting Police K9,3,Hiawatha
2016/01/19 20:39:28,Animal Bite ,No,BURGB,Yes,Police K9 Bite,On Lead,Native American,Male,18.0,Commission of Crime,3,Hiawatha
2016/01/19 20:39:28,Animal Bite ,No,BURGB,Yes,Bodily Force,Kicks,,Male,19.0,Assaulting Police K9,3,Hiawatha
2016/01/20 02:03:16,Suspicious Vehicle ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,White,Male,28.0,Fled in Vehicle,5,East Isles
2016/01/20 02:03:16,Suspicious Vehicle ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,White,Male,28.0,Fled in Vehicle,5,East Isles
2016/01/21 15:25:16,Unwanted Person ,Yes,DISCON,No,Bodily Force,Body Weight to Pin,White,Male,38.0,Tensed,2,Marcy Holmes
2016/01/21 15:25:16,Unwanted Person ,Yes,DISCON,No,Bodily Force,Joint Lock,White,Male,38.0,Tensed,2,Marcy Holmes
2016/01/22 20:32:00,Person with a Gun ,No,TLE,No,Bodily Force,Body Weight to Pin,Black,Male,22.0,Verbal Non-Compliance,4,Lind - Bohanon
2016/01/22 20:32:00,Person with a Gun ,No,TLE,No,Bodily Force,Body Weight to Pin,Black,Female,0.0,Tensed,4,Lind - Bohanon
2016/01/22 20:32:00,Person with a Gun ,No,TLE,No,Bodily Force,Push Away,Black,Male,22.0,Verbal Non-Compliance,4,Lind - Bohanon
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Knees,Black,Male,22.0,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Joint Lock,Black,Male,22.0,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Body Weight to Pin,Black,Male,22.0,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Punches,Black,Male,22.0,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Body Weight to Pin,Black,Male,22.0,Fled on Foot,4,Willard - Hay
2016/01/23 01:07:42,Fight ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,26.0,Assaulted Officer,1,North Loop
2016/01/23 01:07:42,Fight ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,26.0,Assaulted Officer,1,North Loop
2016/01/23 01:07:42,Fight ,No,ASLT4,Yes,Bodily Force,Punches,White,Male,26.0,Assaulted Officer,1,North Loop
2016/01/23 02:57:04,Disturbance ,No,FORCE,No,Chemical Irritant,Personal Mace,Black,Female,20.0,Commission of Crime,1,Downtown West
2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Gun Point Display,Compliance,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood
2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood
2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Bodily Force,Punches,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood
2016/01/23 23:26:04,Domestic Abuse-In Progress ,No,PRIORI,No,Bodily Force,Body Weight to Pin,White,Female,34.0,Tensed,4,Folwell
2016/01/23 23:26:04,Domestic Abuse-In Progress ,No,PRIORI,No,Bodily Force,Body Weight to Pin,White,Female,34.0,Tensed,4,Folwell
2016/01/24 01:36:42,Suspicious Person ,No,DISCON,Yes,Chemical Irritant,Personal Mace,Black,Male,21.0,Unspecified,5,Lowry Hill East
2016/01/24 02:41:27,Loud Party ,No,PARTY,No,Chemical Irritant,Personal Mace,Black,Male,22.0,Commission of Crime,2,Marcy Holmes
2016/01/24 02:41:27,Loud Party ,No,PARTY,No,Chemical Irritant,Personal Mace,Other / Mixed Race,Male,18.0,Commission of Crime,2,Marcy Holmes
2016/01/25 00:38:25,Sound of Shots Fired ,Yes,FLEE,Yes,Police K9 Bite,On Lead,Other / Mixed Race,Male,24.0,Unspecified,4,Willard - Hay
2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,Yes,Bodily Force,Kicks,Black,Male,16.0,Fled on Foot,4,Jordan
2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,Yes,Gun Point Display,Compliance,Black,Male,16.0,Fled on Foot,4,Jordan
2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,Yes,Bodily Force,Body Weight to Pin,White,Male,15.0,Fled on Foot,4,Jordan
2016/01/25 12:14:58,Fight ,No,ASLT2,No,Bodily Force,Kicks,Black,Male,63.0,Verbal Non-Compliance,3,Phillips West
2016/01/25 12:14:58,Fight ,No,ASLT2,No,Gun Point Display,Compliance,Black,Male,63.0,Verbal Non-Compliance,3,Phillips West
2016/01/25 14:18:08,Walk Through a Building ,Yes,OPBOTT,No,Bodily Force,Body Weight to Pin,Black,Male,48.0,Unspecified,1,Downtown West
2016/01/25 19:09:44,Crim Sex Conduct ,Yes,OBSTRU,Yes,Bodily Force,Joint Lock,White,Male,72.0,Tensed,3,Seward
2016/01/25 19:09:44,Crim Sex Conduct ,Yes,OBSTRU,Yes,Bodily Force,Body Weight to Pin,White,Male,72.0,Tensed,3,Seward
2016/01/27 13:09:44,Unwanted Person ,Yes,DISCON,No,Bodily Force,Body Weight to Pin,Black,Male,55.0,Tensed,2,Audubon Park
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Chemical Irritant,Personal Mace,,,0.0,Unspecified,4,Harrison
